root@Hiwifi:~# while true;do date; ps; sleep 1;done
Wed Jul 22 11:40:01 CST 2015
  PID USER       VSZ STAT COMMAND
 1417 root         0 SW   [RtmpCmdQTask]
 1419 root         0 SW   [RtmpWscTask]
 2025 root         0 SW   [kworker/0:2]
 2455 root         0 SW   [flush-179:0]
 3519 root      1156 S    /usr/sbin/dropbear -P /var/run/dropbear.1.pid -p 102
 3627 root      1684 S    /usr/sbin/crond -c /etc/crontabs -l 8
 3637 root       896 S    /usr/bin/logservice /etc/logservice/logservice.conf
 3653 root       896 S    /usr/bin/logservice /etc/logservice/logservice.conf
 3697 nobody    2384 S    /usr/sbin/htpdate -4 -d -l -s -t -T 1433327440 -u no
 3854 root      2080 S    /usr/bin/fcgi-cgi -c 2
 3957 root      4460 S    /usr/lib/cmagent/cmagent
 4294 root      2108 S    lua /usr/sbin/mqtt_wireless_sub.lua
 4314 root      1680 S    udhcpc -p /var/run/udhcpc-eth2.2.pid -s /lib/netifd/
 4497 root      1168 S    /usr/sbin/dnsmasq -C /var/etc/dnsmasq.conf -u root
 4627 root       796 S    /usr/sbin/gatekeeper -d -p /var/run/gatekeeper.pid
 4709 root      1960 S    /usr/bin/orayapp 18600757915 19870618
 4804 root     18060 S    /usr/sbin/rsyslogd -f /etc/rsyslog.conf -i /var/run/
 4911 root      1148 S    /usr/sbin/miniupnpd -f /var/etc/miniupnpd.conf
 5185 root      1680 S    {etm_monitor} /bin/sh +x /etc/xunlei/lib/etm_monitor
 5446 root      1248 S    /usr/sbin/dropbear -P /var/run/dropbear.1.pid -p 102
 5447 root      1680 S    -ash
 5463 root      1680 S    -ash
 7021 root         0 RW   [kworker/0:0]
 7420 root         0 SW   [flush-mtd-unmap]
 7490 root       772 S    /usr/sbin/haerpd -d
 8356 root         0 SW<  [kdmflush]
 8357 root         0 SW<  [kcryptd_io]
 8358 root         0 SW<  [kcryptd]
 8368 root         0 SW<  [ext4-dio-unwrit]
 8369 root         0 SW   [ext4lazyinit]
 8391 root         0 SW<  [ext4-dio-unwrit]
 8573 root      5532 S    nginx: master process /usr/sbin/nginx
 8575 nobody    6244 S    nginx: worker process
 8733 root         0 SW   [flush-253:0]
